Sl. No.,Seller_Name (as shown on 99acres),Google_Business_Name,"Google_Rating (e.g., 4.3/5)",Total_Review_Count,Review_1_Text,Review_1_Date,Review_2_Text,Review_2_Date,Review_3_Text,Review_3_Date
1,Settlin Zero Brokerage,"Settlin, Property Consultancy",4.6 / 5,927,"After searching the whole of internet for a reliable property purchase service, I felt lost until somehow I came across Settlin and the search ended and now I have a new flat",5 Days ago,"Great Service. Vineet, Sharanya, Bharat and everyone were really helpful. Proper guidance and fully professional.",a week ago,Got to know about Settlin through one of my friend. From beginning till registration settlin has done very good service for both buyer and seller. Vineeth from Settlin made sure all process goes smoothly by guiding both Seller and Buyer politely. Thanks.,2 weeks ago
2,VALUEPERSQFT REALTY SERVICE PVT LTD,Value Per Sqft,4.9,620,Priyanka supported me and convinced me to get a flat in Godrej Azure almost instantly. I came with my friend for his booking but her approach and explanation convinced me to book a flat for myself. My best wishes to priyanka for continuing her good work.,a day ago,"Experience was good. Mr. Rajashekar, an experienced and hardworking sales professional had assisted us for buying the property at Godrej Azure. He is very good at sales and our experince with him was enriching. Thank you Rajashekhar!",4 days ago,"Paisapresft is good at coordinating and marketing properties but does not negotiate much on prices. In Chennai, there are more unsold new apartments than sold ones recently. Builders find it hard to sell these apartments because they don’t offer discounts, even though buyers wait longer to take possession. Builders keep prices steady to cover their costs and hope the market will improve without lowering prices.",a week ago
3,Pin Click Property Management Pvt Ltd,Pin Click,3.3,455,Very Bad Experience,3 days ago,I receive calls from them literally every single day claiming that I have raised some request. And every single day i ask them to remove my number from their database. I have blocked at least 12 of their numbers. The most annoying real estate brokers i have ever come across.,2 weeks ago,"I interacted with Anurag, he suggested good options as per my requirement and I was able to make a decision. He did not force and always mentioned pros and cons of all properties based on the area.",3 weeks ago
4,G R Reality,G R Reality,4.6,99,Very good service by the team to get our flat. End to end process was taken care by Pranaw. Recommened them.,5 days ago,We have met with Irfan khan from G R reality Pvt Ltd. He is very very supportive and understood our requirements for 3 BHK. His nature and down to earth attitude impressed us the most. Very honest and very Hard working person. Thank you Irfan for getting our flats as per our requirement and we are completely satisfied with yours and company's support. You are one of the gem 💎,a month ago,"Best in the Business, always have variety and presence everywhere, good recommendations and information for all buyers",a month ago
5,MYSPACE REALTY PRIVATE LIMITED,MySpace Realty,3.7,66,"Worst company, don't trust them, very unethical",3 weeks ago,I didn't recieve my full and final settlement it's been over 90 days and hr committed within 60 days the amount will be credited and now not responding my message If I didn't get my fnf you will get more 1star reviews.,3 weeks ago,Mohan Pathak from their team verbally abuses clients.,a month ago
6,Bricks to Home,Bricks To Home,4.8 / 5,33,Good Service,3 months ago,"Outstanding work from Ruksar and Abdul, they are doing very good in showing up the properties and they treat me as an family member when coming to project.",3 years ago,Best Channel Partner Company that makes sure to understand your requirement and suggest properties accordingly that matches with every requirement of yours like budget wise location wise everything,6 years ago
7,100Yards,100 Yards | Hundred Yards Realtor Pvt. Ltd.,4.5,31,"Unfulfilled Promises & Extremely Poor Ethics I had a very disappointing experience with 100 Yards while purchasing a flat in the Godrej MSR project. During the deal, the sales representatives Kesav and Ifshana clearly committed to a 1% cashback, which was a major factor in our decision.",1 Day ago,"We ( I and my colleague ) , bought a flat in Devanahalli, Bangalore through 100 yards channel partner. Agent name is Keshav. He helped us finalising the property and promised 1% return if we buy via his company (100 yards ) It’s been 5 months now, he has not refunded us the promised Amount and 100 yards denied all the referral amounts.",2 months ago,I was completely impressed with their professionalism and customer service.,2 months ago
8,Trustkey Realty Pvt Ltd,Trustkey Realty Pvt Ltd,5,14,Anish has lot of contacts and he will suggest properties based on your budget,4 weeks ago,A word of appreciation for Karthik to facilitate our investment. Best wishes.,a month ago,Excellent service from Trustkey Realty Pvt. Ltd.! I truly appreciate their honest advice and smooth coordination right from the first visit to final booking. A reliable team that lives up to its name — highly trustworthy and customer-centric. Would definitely recommend them to anyone looking for trusted real estate partners in Bangalore.,a month ago
9,Skyvibe Realty Private Limited,Skyvibe Realty Private Limited,4.2/5,6,Skyvibe is an very good property dealer company in Bangalore and they are providing a good properties to the customers with A grade builders and fullfillng there dream properties,11 months ago,"Skyvibe is an good property dealer company, Has tie up with major A grade builders across Bangalore",11 months ago,"As a customer of Skyvibe Realty, I had an outstanding experience from start to finish. The team was incredibly knowledgeable, responsive, and genuinely cared about finding the best real estate solution for me. They took the time to understand my needs and guided me through every step of the process. I felt well-informed and supported throughout. Their professionalism and commitment to providing excellent service truly set them apart.",11 months ago
10,ASSETTRUST SERVICES PRIVATE LIMITED,No Listing Found,,,,,,,,
